candidate_id,name,party_code,number,title,text
798,Sofie de Bretteville Olsen,A,1,For børnene. For mindre klasser og flere pædagoger.,"Vores børn fortjener det allerbedste. De er det vigtigste, vi har.
I dag er det ikke alle børn, der trives lige godt.

Jeg vil arbejde for, at vores børn får en bedre hverdag. Med færre elever i klasserne og flere pædagoger i vores vuggestuer og børnehaver. Så vores børn får den øjenkontakt og det nærvær, de fortjener. Og så vores lærere og pædagoger får tiden til at bruge deres faglighed.
"
798,Sofie de Bretteville Olsen,A,2,"For hurtig, god og gratis behandling i sundhedsvæsenet. Imod brugerbetaling.","Uligheden i sundhed vokser. Hvor længe man lever, hvor rask man er, og hvor mange gode år man har, afhænger stadig af, hvor man er født, og hvad man kommer fra. Ligesom tårnhøje tandlægeregninger og prisen på medicin vælter mange menneskers økonomi. Det mener jeg er uretfærdigt.

Derfor vil jeg til hver en tid vælge velfærd frem for besparelser.
"
798,Sofie de Bretteville Olsen,A,3,For værdig og retfærdig pension. Imod den automatiske stigning i pensionsalderen,"Jeg mener ikke, at man skal arbejde, til man er langt oppe i 70’erne. Pensionsalderen kan ikke bare blive ved med at stige.

Derfor vil jeg stoppe den automatiske stigning i pensionsalderen og udvide Arnepensionen. Så dem med de hårdeste jobs, der har været længst tid på arbejdsmarkedet, kan trække sig tidligere tilbage.
"
750,Gunvor Wibroe,A,1,Nær velfærd: Fra dejligt børneliv til en tryg alderdom,"Jeg kæmper for et stærkt velfærdssamfund, vi kan have tillid til. Fra barnets første spæde skridt - til livets sidste år. Vi skal have daginstitutioner med tid og omsorg til de mindste. Og skoler med ro, nærvær og færre elever per klasse. Og for vores seniorer - en tilbagetrækning fra arbejdslivet med mange gode år til et aktivt seniorliv til en værdig ældrepleje, når vi får brug for den."
750,Gunvor Wibroe,A,2,Et stærkt forsvar af Danmark,"Vi lever i en utryg og meget voldsom verden. Der er krig i Europa, og USA - med en utilregnelig Trump i spidsen - truer Grønland og Danmark med invasion og overtagelse. Vi kan ikke længere tage amerikansk støtte for givet. Samtidig presser tech-oligarker vores demokratier. Derfor skal Danmark og Europa opruste militært og teknologisk, så vi kan stå på egne ben."
750,Gunvor Wibroe,A,3,Lige adgang til sundhed - uanset pengepung og postnummer,"Vi bliver flere ældre, og det betyder flere komplekse sygdomme, som presser sundhedsvæsenet. Derfor skal vi investere i et stærkt sundhedsvæsen med hurtig diagnose, effektiv behandling og let adgang til genoptræning. Samtidig skal vi styrke forebyggelsen med fokus på kost, bevægelse og fritidstilbud, så flere kan leve et sundt og godt liv."
754,Jens Anton Tingstrøm,A,1,Mere natur og rent drikkevand,"Jeg arbejder i Danmarks Naturfredningsforening og vil bruge min viden i Folketinget.

Vi skal have mere natur, høje klimamål og forbyde landbruget at forurene drikkevandet. 

I dag har vi for lidt natur. Sommerfugle og planter er ved at uddø. Vi står også i en alvorlig klimakrise, der giver oversvømmelser og skovbrande i Europa.

Vi skal også stille strengere krav om dyrevelfærd for især grise."
754,Jens Anton Tingstrøm,A,2,Ro og tryghed for vores børn - skole og daginstitutioner,"Som far til to børn i børnehave og folkeskole har jeg området inde på livet.

Vi skal prioritere området højere: Vi skal have mindre klassestørrelser og flere timer med to lærere i klassen. Fritidsområdet med SFO og klub har brug for mere fokus.

I vuggestuer og børnehaver skal vi have gode normeringer. Jeg er meget optaget af, at vi har nok uddannede pædagoger. Faglighed er afgørende for børnene."
754,Jens Anton Tingstrøm,A,3,Værdighed for ældre og sårbare (handicap),"Vi skal tiltrække og fastholde dygtigt personale i ældreplejen. I dag møder ældre for mange forskellige hjælpere.

De pårørende til ældre er ofte pressede og skal koordinere mange ting. De har brug for mere støtte.
 
Ensomhed rammer mange ældre og mennesker med handicap. Der er brug for flere fællesskaber.

Ældre og mennesker med handicap har også brug for bedre tilgængelighed til at komme rundt."
776,Magnus Barsøe,A,1,Det skal være billigere at være dansker,"Vi skal gøre det billigere at være dansker og gøre op med den stigende ulighed. Vi skal have lavere moms, en bedre pension for de mest nedslidte og langt mere offensiv boligpolitik. Vi skal tackle de stigende boligpriser ved at bygge markant flere boliger, som almindelige mennesker har råd til. Vi skal samtidig slå ned på spekulanter og banker, der scorer kassen på at flå almindelige mennesker."
776,Magnus Barsøe,A,2,Ukraine og Danmarks sikkerhed,"Jeg besøgte Ukraine i vinter 2023. Deres kamp for overlevelse og demokrati efterlod et dybt indtryk. Vi skal sige fra overfor Cirkus Trump, investere i vores forsvar med vores europæiske allierede og hjælpe vores ukrainske venner i kampen mod tyranni.

Vi skal samtidig hurtigere væk fra Putins fossile energi og over til grøn energi."
776,Magnus Barsøe,A,3,Vi skal bekæmpe trafikstøj og grave vores motorveje ned,"Trafikstøj og partikler fra biltrafikken på de storkøbenhavnske motorveje og omfartsveje plager tusinder af storkøbenhavnske familier. Jeg vil kæmpe for, de mest trafikerede passager overdækkes eller graves ned. Præcis som man har gjort i Holland, Tyskland og Norge. Vi skal samtidig have en langt mere ambitiøs udbygning af metro og s-tog mod Hvidovre, Rødovre, Herlev, Hellerup og Lyngby."
780,Maria Durhuus,A,1,Tryghed ,"Tryghed er fundamentet for et godt hverdagsliv. Man skal kunne sende sine børn i skole, tage S-toget hjem om aftenen og færdes i sit boligområde uden utryghed. Tryghed handler om nærværende politi, forebyggelse og stærke fællesskaber. Når vi investerer i børn og unge, fritidsliv og lokale fællesskaber, forebygger vi kriminalitet og skaber en Vestegn, hvor det ikke er bander og vold der bestemmer."
